,precision,recall,f1-score,support
toxic,0.7582370560547711,0.7724498692240628,0.7652774778665515,2294.0
severe_toxic,0.3305084745762712,0.6527196652719666,0.4388185654008439,239.0
obscene,0.8211586901763224,0.7719021310181531,0.7957689178193653,1267.0
threat,0.3684210526315789,0.3888888888888889,0.3783783783783784,72.0
insult,0.7169334456613311,0.7199661590524534,0.7184466019417476,1182.0
identity_hate,0.3687315634218289,0.5924170616113744,0.45454545454545453,211.0
micro avg,0.6979650124955373,0.7426400759734093,0.719609827919389,5265.0
macro avg,0.5606650470870173,0.6497239625111498,0.591872565992057,5265.0
weighted avg,0.7237491739620032,0.7426400759734093,0.7295383870619728,5265.0
samples avg,0.06334739861853832,0.06797432040998218,0.06270688587073947,5265.0
