,precision,recall,f1-score,support
toxic,0.7687393526405452,0.7868352223190933,0.7776820336062042,2294.0
severe_toxic,0.18566775244299674,0.9539748953974896,0.310838445807771,239.0
obscene,0.8278145695364238,0.7892659826361483,0.8080808080808081,1267.0
threat,0.05128205128205128,0.8611111111111112,0.09679937548790007,72.0
insult,0.7165289256198347,0.733502538071066,0.7249163879598662,1182.0
identity_hate,0.15080645161290324,0.8862559241706162,0.25775327360441075,211.0
micro avg,0.4914130048560938,0.788034188034188,0.6053399474759265,5265.0
macro avg,0.4501398505224592,0.8351576122842541,0.49601172075782674,5265.0
weighted avg,0.7101905767253961,0.788034188034188,0.7218115904678624,5265.0
samples avg,0.05122897170231729,0.07190215574866309,0.05645684969924609,5265.0
