,precision,recall,f1-score,support
toxic,0.8462214411247804,0.8395815170008718,0.8428884026258205,2294.0
severe_toxic,0.5135135135135135,0.5564853556485355,0.5341365461847389,239.0
obscene,0.8148425787106447,0.8579321231254933,0.8358323721645521,1267.0
threat,0.5,0.5833333333333334,0.5384615384615384,72.0
insult,0.7443667443667443,0.8104906937394247,0.7760226812474686,1182.0
identity_hate,0.5307692307692308,0.6540284360189573,0.5859872611464968,211.0
micro avg,0.7789090909090909,0.8136752136752137,0.7959126799814212,5265.0
macro avg,0.6582855847474857,0.716975243144436,0.6855548003051025,5265.0
weighted avg,0.7833240384482739,0.8136752136752137,0.7977047669135654,5265.0
samples avg,0.07088834113190731,0.07621295677361853,0.07085066249295861,5265.0
