label,threshold,f1
toxic,0.05,0.7461498529157293
toxic,0.075,0.7652859960552268
toxic,0.1,0.7738987388046061
toxic,0.125,0.7818181818181819
toxic,0.15,0.789404471162878
toxic,0.175,0.7929532108353855
toxic,0.2,0.7948864720473192
toxic,0.225,0.7983855467999231
toxic,0.25,0.8008507347254447
toxic,0.275,0.8025650991061019
toxic,0.3,0.8037492677211482
toxic,0.325,0.8072241853160581
toxic,0.35,0.8088206339830676
toxic,0.375,0.8097310126582279
toxic,0.4,0.812549642573471
toxic,0.425,0.8138839018551766
toxic,0.45,0.8154369126174765
toxic,0.475,0.8169240024062563
toxic,0.5,0.8176151216569475
toxic,0.525,0.8188785800726099
toxic,0.55,0.8193404814889743
toxic,0.575,0.8198051948051948
toxic,0.6,0.8201058201058201
toxic,0.625,0.8188879803761243
toxic,0.65,0.8196183049456187
toxic,0.675,0.8215904408735064
toxic,0.7,0.8221670802315963
toxic,0.725,0.8236514522821576
toxic,0.75,0.8252244727500522
toxic,0.775,0.8255765199161426
toxic,0.8,0.8271942748894969
toxic,0.825,0.8268864933417882
toxic,0.85,0.8282013166277341
toxic,0.875,0.8295916185589053
toxic,0.9,0.8321451717433571
toxic,0.925,0.8317962231005709
toxic,0.95,0.8329621380846325
severe_toxic,0.05,0.37101910828025475
severe_toxic,0.075,0.38596491228070173
severe_toxic,0.1,0.40421792618629176
severe_toxic,0.125,0.41155234657039713
severe_toxic,0.15,0.4180478821362799
severe_toxic,0.175,0.42762535477767266
severe_toxic,0.2,0.44011684518013633
severe_toxic,0.225,0.4431256181998022
severe_toxic,0.25,0.44488977955911824
severe_toxic,0.275,0.4505606523955148
severe_toxic,0.3,0.4550155118924509
severe_toxic,0.325,0.46218487394957986
severe_toxic,0.35,0.46645367412140576
severe_toxic,0.375,0.47122692725298587
severe_toxic,0.4,0.47955801104972373
severe_toxic,0.425,0.4816870144284129
severe_toxic,0.45,0.48368953880764903
severe_toxic,0.475,0.4880273660205245
severe_toxic,0.5,0.4936268829663963
severe_toxic,0.525,0.49414519906323184
severe_toxic,0.55,0.5011933174224343
severe_toxic,0.575,0.5060240963855421
severe_toxic,0.6,0.5060827250608273
severe_toxic,0.625,0.5104294478527608
severe_toxic,0.65,0.5118601747815231
severe_toxic,0.675,0.5132075471698113
severe_toxic,0.7,0.5108556832694764
severe_toxic,0.725,0.5142118863049095
severe_toxic,0.75,0.5136897001303781
severe_toxic,0.775,0.5166444740346205
severe_toxic,0.8,0.5217391304347826
severe_toxic,0.825,0.5263157894736842
severe_toxic,0.85,0.5338983050847458
severe_toxic,0.875,0.5319767441860465
severe_toxic,0.9,0.5311572700296736
severe_toxic,0.925,0.5333333333333333
severe_toxic,0.95,0.5359477124183006
obscene,0.05,0.7360482654600302
obscene,0.075,0.7492279184681903
obscene,0.1,0.7601638827607942
obscene,0.125,0.7680050987890376
obscene,0.15,0.7734450531743474
obscene,0.175,0.7780305492362691
obscene,0.2,0.7801047120418848
obscene,0.225,0.7835255354200988
obscene,0.25,0.7891066090999668
obscene,0.275,0.7908061292471685
obscene,0.3,0.7913043478260869
obscene,0.325,0.7935440484196369
obscene,0.35,0.7958150523118461
obscene,0.375,0.797832712495767
obscene,0.4,0.8004080244814689
obscene,0.425,0.8036935704514364
obscene,0.45,0.8054888507718696
obscene,0.475,0.8089655172413793
obscene,0.5,0.8108108108108109
obscene,0.525,0.8126740947075209
obscene,0.55,0.8151260504201681
obscene,0.575,0.8161403508771929
obscene,0.6,0.8184377199155525
obscene,0.625,0.8200777659950512
obscene,0.65,0.8206039076376554
obscene,0.675,0.8190271816881259
obscene,0.7,0.8223021582733813
obscene,0.725,0.8231464737793852
obscene,0.75,0.8242997453619498
obscene,0.775,0.8286238532110092
obscene,0.8,0.8302583025830258
obscene,0.825,0.8304267161410018
obscene,0.85,0.8341445151628604
obscene,0.875,0.8332075471698113
obscene,0.9,0.8293424553401748
obscene,0.925,0.8278247501921598
obscene,0.95,0.8318863456985004
threat,0.05,0.40993788819875776
threat,0.075,0.5078125
threat,0.1,0.5289256198347108
threat,0.125,0.5431034482758621
threat,0.15,0.5478260869565217
threat,0.175,0.5575221238938053
threat,0.2,0.5675675675675675
threat,0.225,0.5779816513761468
threat,0.25,0.5833333333333334
threat,0.275,0.5821596244131455
threat,0.3,0.5904761904761905
threat,0.325,0.5933014354066986
threat,0.35,0.5893719806763285
threat,0.375,0.5922330097087378
threat,0.4,0.5951219512195122
threat,0.425,0.5970149253731343
threat,0.45,0.6030150753768844
threat,0.475,0.6060606060606061
threat,0.5,0.6091370558375635
threat,0.525,0.6091370558375635
threat,0.55,0.6091370558375635
threat,0.575,0.6122448979591837
threat,0.6,0.6082474226804123
threat,0.625,0.6113989637305699
threat,0.65,0.6145833333333334
threat,0.675,0.6243386243386243
threat,0.7,0.6243386243386243
threat,0.725,0.6243386243386243
threat,0.75,0.6310160427807486
threat,0.775,0.6344086021505376
threat,0.8,0.6378378378378379
threat,0.825,0.6413043478260869
threat,0.85,0.644808743169399
threat,0.875,0.6519337016574586
threat,0.9,0.6480446927374302
threat,0.925,0.6590909090909091
threat,0.95,0.6666666666666666
insult,0.05,0.6512032473180632
insult,0.075,0.66507319988049
insult,0.1,0.6785276073619632
insult,0.125,0.6894176581089543
insult,0.15,0.6941886313115274
insult,0.175,0.6987797045600513
insult,0.2,0.7046564636926083
insult,0.225,0.7069645203679369
insult,0.25,0.711965528670865
insult,0.275,0.7138092061374249
insult,0.3,0.7159167226326394
insult,0.325,0.7185385656292287
insult,0.35,0.7184531886024423
insult,0.375,0.7211768730756073
insult,0.4,0.7240192704748796
insult,0.425,0.7258232235701907
insult,0.45,0.7271458478715981
insult,0.475,0.7274640477025605
insult,0.5,0.7317763623496107
insult,0.525,0.7334754797441365
insult,0.55,0.7370304114490162
insult,0.575,0.7388489208633093
insult,0.6,0.7395079594790159
insult,0.625,0.7404718693284936
insult,0.65,0.7427946005107625
insult,0.675,0.7437591776798825
insult,0.7,0.7451851851851852
insult,0.725,0.74487895716946
insult,0.75,0.7465368775739424
insult,0.775,0.7485822306238186
insult,0.8,0.7525733892489516
insult,0.825,0.7569444444444444
insult,0.85,0.7565251266069342
insult,0.875,0.7575877020102483
insult,0.9,0.762779552715655
insult,0.925,0.7634888438133874
insult,0.95,0.7614297589359933
identity_hate,0.05,0.34774436090225563
identity_hate,0.075,0.38275499474237645
identity_hate,0.1,0.4215456674473068
identity_hate,0.125,0.44139650872817954
identity_hate,0.15,0.45618556701030927
identity_hate,0.175,0.46524064171123
identity_hate,0.2,0.479108635097493
identity_hate,0.225,0.49710982658959535
identity_hate,0.25,0.49926144756277696
identity_hate,0.275,0.5060606060606061
identity_hate,0.3,0.517829457364341
identity_hate,0.325,0.5210608424336973
identity_hate,0.35,0.532051282051282
identity_hate,0.375,0.5276872964169381
identity_hate,0.4,0.5346534653465347
identity_hate,0.425,0.54
identity_hate,0.45,0.543918918918919
identity_hate,0.475,0.5417376490630323
identity_hate,0.5,0.5420240137221269
identity_hate,0.525,0.5448275862068965
identity_hate,0.55,0.5514834205933682
identity_hate,0.575,0.5577264653641207
identity_hate,0.6,0.5585585585585585
identity_hate,0.625,0.5636363636363636
identity_hate,0.65,0.5650557620817844
identity_hate,0.675,0.5676691729323309
identity_hate,0.7,0.5752380952380952
identity_hate,0.725,0.5769230769230769
identity_hate,0.75,0.5859375
identity_hate,0.775,0.5896414342629482
identity_hate,0.8,0.5915492957746479
identity_hate,0.825,0.5963488843813387
identity_hate,0.85,0.6
identity_hate,0.875,0.5962732919254659
identity_hate,0.9,0.5941422594142259
identity_hate,0.925,0.5948275862068966
identity_hate,0.95,0.59375
