,precision,recall,f1-score,support
toxic,0.8415110725141121,0.8448125544899738,0.8431585816837067,2294.0
severe_toxic,0.4539877300613497,0.6192468619246861,0.5238938053097345,239.0
obscene,0.7939914163090128,0.8760852407261247,0.8330206378986866,1267.0
threat,0.5125,0.5694444444444444,0.5394736842105263,72.0
insult,0.7227866473149492,0.8426395939086294,0.778125,1182.0
identity_hate,0.5739130434782609,0.6255924170616114,0.5986394557823129,211.0
micro avg,0.7637795275590551,0.8290598290598291,0.7950819672131147,5265.0
macro avg,0.6497816516129475,0.7296368520925783,0.6860518608141613,5265.0
weighted avg,0.7706070392394564,0.8290598290598291,0.7976737577402302,5265.0
samples avg,0.07038770053475936,0.0774405358734403,0.07110104759879159,5265.0
